patchbot/owners patchbot-owners
ReleaseTours/sage-9.8#SupportforGCC<8dropped;C++17featuresnowavailable ReleaseTours-sage-9.8#Support-for-GCC-<-8-dropped;-C++17-features-now-available
ReleaseTours/sage-9.8#NativesupportforAppleSilicon(M1/M2) ReleaseTours-sage-9.8#Native-support-for-Apple-Silicon-(M1/M2)
ReleaseTours/sage-9.8#AvailabilityofSage9.8andinstallationhelp ReleaseTours-sage-9.8#Availability-of-Sage-9.8-and-installation-help
ReleaseTours/sage-9.8#Sources ReleaseTours-sage-9.8#Sources
ReleaseTours/sage-9.8#Moredetails ReleaseTours-sage-9.8#More-details
ReleaseTours/sage-9.6 ReleaseTours-sage-9.6
ReleaseTours/sage-9.6#Sage9.6ReleaseTour ReleaseTours-sage-9.6#Sage-9.6-Release-Tour
ReleaseTours/sage-9.6#Userinterface,plottingandgraphics ReleaseTours-sage-9.6#User-interface,-plotting-and-graphics
ReleaseTours/sage-9.6#!JupyterLab3.3 ReleaseTours-sage-9.6#!JupyterLab-3.3
ReleaseTours/sage-9.6#LaTeXdisplaysin!JupyterLab ReleaseTours-sage-9.6#LaTeX-displays-in-!JupyterLab
ReleaseTours/sage-9.6#Interactivegrapheditingwithphitigra ReleaseTours-sage-9.6#Interactive-graph-editing-with-phitigra
ReleaseTours/sage-9.6#Hyperbolicplots ReleaseTours-sage-9.6#Hyperbolic-plots
ReleaseTours/sage-9.6#GraphicswithTikZ ReleaseTours-sage-9.6#Graphics-with-TikZ
ReleaseTours/sage-9.6#Complexplots ReleaseTours-sage-9.6#Complex-plots
ReleaseTours/sage-9.6#Linearalgebra ReleaseTours-sage-9.6#Linear-algebra
ReleaseTours/sage-9.6#!NumPyintegration ReleaseTours-sage-9.6#!NumPy-integration
ReleaseTours/sage-9.6#!CombinatorialFreeModuleimprovements ReleaseTours-sage-9.6#!CombinatorialFreeModule-improvements
ReleaseTours/sage-9.6#Symbolics ReleaseTours-sage-9.6#Symbolics
ReleaseTours/sage-9.6#!SymPy1.10.1 ReleaseTours-sage-9.6#!SymPy-1.10.1
ReleaseTours/sage-9.6#!ImageSet ReleaseTours-sage-9.6#!ImageSet
ReleaseTours/sage-9.6#Orthogonalpolynomials ReleaseTours-sage-9.6#Orthogonal-polynomials
ReleaseTours/sage-9.6#Sphericalharmonics ReleaseTours-sage-9.6#Spherical-harmonics
ReleaseTours/sage-9.6#Polyhedralgeometryandlinearprogramming ReleaseTours-sage-9.6#Polyhedral-geometry-and-linear-programming
ReleaseTours/sage-9.6#polymake4.6 ReleaseTours-sage-9.6#polymake-4.6
ReleaseTours/sage-9.6#CyLP ReleaseTours-sage-9.6#CyLP
ReleaseTours/sage-9.6#EquivariantEhrharttheory ReleaseTours-sage-9.6#Equivariant-Ehrhart-theory
ReleaseTours/sage-9.6#Manifolds ReleaseTours-sage-9.6#Manifolds
ReleaseTours/sage-9.6#ImprovedManifoldconstructor ReleaseTours-sage-9.6#Improved-Manifold-constructor
ReleaseTours/sage-9.6#Symplecticmanifolds ReleaseTours-sage-9.6#Symplectic-manifolds
ReleaseTours/sage-9.6#Projectivespaces ReleaseTours-sage-9.6#Projective-spaces
ReleaseTours/sage-9.6#Internalcodeimprovementsandbugfixes ReleaseTours-sage-9.6#Internal-code-improvements-and-bug-fixes
ReleaseTours/sage-9.6#Algebra ReleaseTours-sage-9.6#Algebra
ReleaseTours/sage-9.6#lrcalc2.1 ReleaseTours-sage-9.6#lrcalc-2.1
ReleaseTours/sage-9.6#Finitelypresentedmodulesovergradedalgebras ReleaseTours-sage-9.6#Finitely-presented-modules-over-graded-algebras
ReleaseTours/sage-9.6#Miscellaneousimprovements ReleaseTours-sage-9.6#Miscellaneous-improvements
ReleaseTours/sage-9.6#Numbertheory ReleaseTours-sage-9.6#Number-theory
ReleaseTours/sage-9.6#Ellipticcurves ReleaseTours-sage-9.6#Elliptic-curves
ReleaseTours/sage-9.6#Cryptography ReleaseTours-sage-9.6#Cryptography
ReleaseTours/sage-9.6#Packageupgrades ReleaseTours-sage-9.6#Package-upgrades
ReleaseTours/sage-9.6#Python3.10 ReleaseTours-sage-9.6#Python-3.10
ReleaseTours/sage-9.6#FLINT2.8.xandarb2.22.x ReleaseTours-sage-9.6#FLINT-2.8.x-and-arb-2.22.x
ReleaseTours/sage-9.6#igraph0.9.x ReleaseTours-sage-9.6#igraph-0.9.x
ReleaseTours/sage-9.6#Fordevelopers:Refactoringandmodularization ReleaseTours-sage-9.6#For-developers:-Refactoring-and-modularization
ReleaseTours/sage-9.6#sage.features.Executable.absolute_filename() ReleaseTours-sage-9.6#sage.features.Executable.absolute_filename()
ReleaseTours/sage-9.6#PreparationsforPEP420implicitnamespacepackages ReleaseTours-sage-9.6#Preparations-for-PEP-420-implicit-namespace-packages
ReleaseTours/sage-9.6#Lazyimportsofclassesnowsupport"isinstance" ReleaseTours-sage-9.6#Lazy-imports-of-classes-now-support-"isinstance"
ReleaseTours/sage-9.6#sage.geometry.polyhedron.basereorganized ReleaseTours-sage-9.6#sage.geometry.polyhedron.base-reorganized
ReleaseTours/sage-9.6#Newdevelopertools ReleaseTours-sage-9.6#New-developer-tools
ReleaseTours/sage-9.6#Pre-builtDockercontainersonghcr.io ReleaseTours-sage-9.6#Pre-built-Docker-containers-on-ghcr.io
ReleaseTours/sage-9.6#SagedevelopmentinthecloudwithGitpod ReleaseTours-sage-9.6#Sage-development-in-the-cloud-with-Gitpod
ReleaseTours/sage-9.6#BuildsandchecksofticketbranchesonGitHubActions ReleaseTours-sage-9.6#Builds-and-checks-of-ticket-branches-on-GitHub-Actions
ReleaseTours/sage-9.6#Lintingworkflow(pycodestyle,relint) ReleaseTours-sage-9.6#Linting-workflow-(pycodestyle,-relint)
ReleaseTours/sage-9.6#Incrementalbuildandtest ReleaseTours-sage-9.6#Incremental-build-and-test
ReleaseTours/sage-9.6#Documentationbuild ReleaseTours-sage-9.6#Documentation-build
ReleaseTours/sage-9.6#Testcoverageanalysiswithcodecov ReleaseTours-sage-9.6#Test-coverage-analysis-with-codecov
ReleaseTours/sage-9.6#sage--pytest ReleaseTours-sage-9.6#sage---pytest
ReleaseTours/sage-9.6#sage-t--baseline-stats-path ReleaseTours-sage-9.6#sage--t---baseline-stats-path
ReleaseTours/sage-9.6#SagepatchbotonGitHubActions ReleaseTours-sage-9.6#Sage-patchbot-on-GitHub-Actions
ReleaseTours/sage-9.6#Newtrac.sagemath.orgfrontpage ReleaseTours-sage-9.6#New-trac.sagemath.org-front-page
ReleaseTours/sage-9.6#AvailabilityofSage9.6andinstallationhelp ReleaseTours-sage-9.6#Availability-of-Sage-9.6-and-installation-help
ReleaseTours/sage-9.6#Sources ReleaseTours-sage-9.6#Sources
ReleaseTours/sage-9.6#Availabilityasbinaries ReleaseTours-sage-9.6#Availability-as-binaries
ReleaseTours/sage-9.6#Help ReleaseTours-sage-9.6#Help
ReleaseTours/sage-9.6#Moredetails ReleaseTours-sage-9.6#More-details
ReleaseTours/sage-9.7 ReleaseTours-sage-9.7
ReleaseTours/sage-9.7#Sage9.7ReleaseTour ReleaseTours-sage-9.7#Sage-9.7-Release-Tour
ReleaseTours/sage-9.7#Documentation ReleaseTours-sage-9.7#Documentation
ReleaseTours/sage-9.7#Basicarithmetic ReleaseTours-sage-9.7#Basic-arithmetic
ReleaseTours/sage-9.7#Combinatorics ReleaseTours-sage-9.7#Combinatorics
ReleaseTours/sage-9.7#Polyhedralgeometry ReleaseTours-sage-9.7#Polyhedral-geometry
ReleaseTours/sage-9.7#Numbertheory ReleaseTours-sage-9.7#Number-theory
ReleaseTours/sage-9.7#Ellipticcurves ReleaseTours-sage-9.7#Elliptic-curves
ReleaseTours/sage-9.7#Algebra ReleaseTours-sage-9.7#Algebra
ReleaseTours/sage-9.7#Knottheory ReleaseTours-sage-9.7#Knot-theory
ReleaseTours/sage-9.7#Manifolds ReleaseTours-sage-9.7#Manifolds
ReleaseTours/sage-9.7#Tensorproductsoffreemodulesoffiniterank ReleaseTours-sage-9.7#Tensor-products-of-free-modules-of-finite-rank
ReleaseTours/sage-9.7#Vectorbasesendowedwithdictionarymethods ReleaseTours-sage-9.7#Vector-bases-endowed-with-dictionary-methods
ReleaseTours/sage-9.7#Internalcodeimprovementsandbugfixes ReleaseTours-sage-9.7#Internal-code-improvements-and-bug-fixes
ReleaseTours/sage-9.7#Packageupgrades ReleaseTours-sage-9.7#Package-upgrades
ReleaseTours/sage-9.7#Newtoolsfordevelopers ReleaseTours-sage-9.7#New-tools-for-developers
ReleaseTours/sage-9.7#VisualStudioCodedevcontainers ReleaseTours-sage-9.7#Visual-Studio-Code-dev-containers
ReleaseTours/sage-9.7#Validatingdocstringwith`./sage-tox-erst` ReleaseTours-sage-9.7#Validating-docstring-with-`./sage--tox--e-rst`
ReleaseTours/sage-9.7#Doctestingwith`sage-t--optional='sage,!FEATURE'` ReleaseTours-sage-9.7#Doctesting-with-`sage--t---optional='sage,!FEATURE'`
ReleaseTours/sage-9.7#DebuggingonmacOSwith`sage--lldb` ReleaseTours-sage-9.7#Debugging-on-macOS-with-`sage---lldb`
ReleaseTours/sage-9.7#Testingmodularizeddistributions ReleaseTours-sage-9.7#Testing-modularized-distributions
ReleaseTours/sage-9.7#Gitpodnowbasedonconda-forge,providesaDockerclient ReleaseTours-sage-9.7#Gitpod-now-based-on-conda-forge,-provides-a-Docker-client
ReleaseTours/sage-9.7#Modularizationchanges ReleaseTours-sage-9.7#Modularization-changes
ReleaseTours/sage-9.7#Newdistributionsagemath-environment ReleaseTours-sage-9.7#New-distribution-sagemath-environment
ReleaseTours/sage-9.7#Wheelsformodularizeddistributions ReleaseTours-sage-9.7#Wheels-for-modularized-distributions
ReleaseTours/sage-9.7#Packages`sage`,`sage.rings`,...arenownamespaces ReleaseTours-sage-9.7#Packages-`sage`,-`sage.rings`,-...-are-now-namespaces
ReleaseTours/sage-9.7#Configurationchanges ReleaseTours-sage-9.7#Configuration-changes
ReleaseTours/sage-9.7#Editableinstallationisnowthedefault ReleaseTours-sage-9.7#Editable-installation-is-now-the-default
ReleaseTours/sage-9.7#SupportforsystemPython3.7dropped,`ensurepip`required ReleaseTours-sage-9.7#Support-for-system-Python-3.7-dropped,-`ensurepip`-required
ReleaseTours/sage-9.7#SupportforsystemGCColderthan6.3dropped ReleaseTours-sage-9.7#Support-for-system-GCC-older-than-6.3-dropped
ReleaseTours/sage-9.7#UninstallingSPKGsusing`makeSPKG-uninstall` ReleaseTours-sage-9.7#Uninstalling-SPKGs-using-`make-SPKG-uninstall`
ReleaseTours/sage-9.7#AvailabilityofSage9.7andinstallationhelp ReleaseTours-sage-9.7#Availability-of-Sage-9.7-and-installation-help
ReleaseTours/sage-9.7#Sources ReleaseTours-sage-9.7#Sources
ReleaseTours/sage-9.7#Binaries ReleaseTours-sage-9.7#Binaries
ReleaseTours/sage-9.7#Help ReleaseTours-sage-9.7#Help
ReleaseTours/sage-9.7#Moredetails ReleaseTours-sage-9.7#More-details
QuantumDividedPowerAlgebra QuantumDividedPowerAlgebra
patchbot/plugins patchbot-plugins
patchbot/plugins#PatchbotpluginsandmigrationtoGitHubActions patchbot-plugins#Patchbot-plugins-and-migration-to-GitHub-Actions
patchbot/plugins#runbytheBuild&TestworkflowonGHActions patchbot-plugins#run-by-the-Build&Test-workflow-on-GH-Actions
patchbot/plugins#runbytheBuildDocumentationworkflowonGHActions patchbot-plugins#run-by-the-Build-Documentation-workflow-on-GH-Actions
patchbot/plugins#docbuild patchbot-plugins#docbuild
patchbot/plugins#runbytheLintworkflow:equivalentto`tox-erelint` patchbot-plugins#run-by-the-Lint-workflow:-equivalent-to-`tox--e-relint`
patchbot/plugins#python3_py patchbot-plugins#python3_py
patchbot/plugins#python3_pyx patchbot-plugins#python3_pyx
patchbot/plugins#python3 patchbot-plugins#python3
patchbot/plugins#foreign_latex patchbot-plugins#foreign_latex
patchbot/plugins#blocks patchbot-plugins#blocks
patchbot/plugins#triple_colon patchbot-plugins#triple_colon
patchbot/plugins#otherpatchbotpluginsTBD) patchbot-plugins#other-patchbot-plugins-TBD)
patchbot/plugins#commit_messages patchbot-plugins#commit_messages
patchbot/plugins#coverage patchbot-plugins#coverage
patchbot/plugins#non_ascii patchbot-plugins#non_ascii
patchbot/plugins#doctest_continuation patchbot-plugins#doctest_continuation
patchbot/plugins#deprecation_number patchbot-plugins#deprecation_number
patchbot/plugins#pyflakes patchbot-plugins#pyflakes
patchbot/plugins#pycodestyle patchbot-plugins#pycodestyle
patchbot/plugins#trac_links patchbot-plugins#trac_links
patchbot/plugins#startup_time patchbot-plugins#startup_time
patchbot/plugins#startup_modules patchbot-plugins#startup_modules
patchbot/plugins#docbuild_pdf patchbot-plugins#docbuild_pdf
patchbot/plugins#git_rev_list patchbot-plugins#git_rev_list
CategoriesCategoriesReview CategoriesCategoriesReview
GitLab GitLab
sd52 sd52
sd52#DevelopingSage sd52#Developing-Sage
sd52#ProjectGroups sd52#Project-Groups
sd52#Uniformizationp-adics/powerseries sd52#Uniformization-p-adics/power-series
sd52#PolynomialsoverCDVR/CDVF sd52#Polynomials-over-CDVR/CDVF
sd52#Matricesover(C)DVR/DVF sd52#Matrices-over-(C)DVR/DVF
sd52#ArbitraryextensionsofQp sd52#Arbitrary-extensions-of-Qp
sd52#Multiplicationgroupofap-adicfield sd52#Multiplication-group-of-a-p-adic-field
sd52#InterfacewithMathemagix sd52#Interface-with-Mathemagix
sd52#SeriesoverCDVR/CDVF sd52#Series-over-CDVR/CDVF
sd52#Countingpointsoncurves sd52#Counting-points-on-curves
sd52#Assortedbugfixingandreviews sd52#Assorted-bug-fixing-and-reviews
sd51 sd51
sd51#ProjectGroups sd51#Project-Groups
sd51#Finitefields sd51#Finite-fields
sd51#Functionfields sd51#Function-fields
sd51#Galoisrepresentations sd51#Galois-representations
sd51#Semi-stablemodels sd51#Semi-stable-models
sd51#Hyperellipticcurveheightreduction sd51#Hyperelliptic-curve-height-reduction
sd51#Gitworkflow sd51#Git-workflow
sd51#Assortedbugfixing/reviewing sd51#Assorted-bug-fixing/reviewing
sd51#Ellipticcurveisogenies sd51#Elliptic-curve-isogenies
sd51#S-units sd51#S-units
QuickStartSageGit QuickStartSageGit
QuickStartSageGit#Quickstart QuickStartSageGit#Quick-start
algebra algebra
algebra#Linksforticketsearch algebra#Links-for-ticket-search
algebra#Ticketsbytopic algebra#Tickets-by-topic
algebra#Commutativealgebra algebra#Commutative-algebra
algebra#Polynomials algebra#Polynomials
algebra#Powerseries algebra#Power-series
algebra#Sequences algebra#Sequences
SageMath SageMath
DBSchema%20 DBSchema-
DBSchema%20#Schemaforthetracdatabase DBSchema-#Schema-for-the-trac-database
patchbot patchbot
patchbot#TheSagePatchbot patchbot#The-Sage-Patchbot
patchbot#Listsofreports patchbot#Lists-of-reports
patchbot#TicketStatus patchbot#Ticket-Status
patchbot#Hintsandtricks patchbot#Hints-and-tricks
patchbot#Installingthepatchbot patchbot#Installing-the-patchbot
patchbot#Installingoptionalpackages patchbot#Installing-optional-packages
patchbot#Runningthepatchbot patchbot#Running-the-patchbot
patchbot#Configuration patchbot#Configuration
patchbot#bonus patchbot#bonus
patchbot#Lookingatpatchbotactivities patchbot#Looking-at-patchbot-activities
patchbot#usinganipythonsession patchbot#using-an-ipython-session
patchbot#ExampleConfigurationandRun-Scripts patchbot#Example-Configuration-and-Run-Scripts
patchbot#RunningthepatchbotonGitHubActions patchbot#Running-the-patchbot-on-GitHub-Actions
SageMathCell SageMathCell
SageMathCell#SageMathCell SageMathCell#SageMathCell
sd19-bugs sd19-bugs
sd19-bugs#HitList sd19-bugs#Hit-List
sd19-bugs#TriageSession sd19-bugs#Triage-Session
sd19-bugs#NowAvailable sd19-bugs#Now-Available
sd19-bugs#ReviewHitList sd19-bugs#Review-Hit-List
sd19-bugs#Bugsslain(withoutreview) sd19-bugs#Bugs-slain-(without-review)
sd19-bugs#Bugsthoughtslain,butnowneedwork sd19-bugs#Bugs-thought-slain,-but-now-need-work
sd19-bugs#ConfirmedKills sd19-bugs#Confirmed-Kills
sd19-bugs#Assists sd19-bugs#Assists
sd19-bugs#DOA sd19-bugs#DOA
sd19-bugs#wontfix sd19-bugs#wontfix
combinat/DaysCernay2012 combinat-DaysCernay2012
combinat/DaysCernay2012#ProjectlistforSage-CombinatdaysinOrsay combinat-DaysCernay2012#Project-list-for-Sage-Combinat-days-in-Orsay
combinat/DaysCernay2012#IndexedExpressions combinat-DaysCernay2012#Indexed-Expressions
combinat/DaysCernay2012#Basiccombinatorialobjects combinat-DaysCernay2012#Basic-combinatorial-objects
combinat/DaysCernay2012#OtherTickets combinat-DaysCernay2012#Other-Tickets
